Name,TakesOnlineOrders,hastablebooking,Ratings,Votes,Rest_Type,Cuisines,Cost,Type,City,Ratings_null,target
Shater Grill House,0,0,3.5,8,13,930,700.0,4,0,0,0
Mysore Carnival Restaurant,0,0,3.8,14,74,2601,350.0,2,3,0,1
Fortuna Turban Tadka,0,0,3.7,0,74,2622,300.0,4,6,1,0
Matsya Lunch Home,1,0,3.8,13,74,783,400.0,4,11,0,1
Rajdhani Thali Restaurant,1,1,4.0,797,13,917,900.0,4,3,0,1
Shiv Sagar,1,0,3.7,0,44,1673,250.0,4,13,1,0
New Shanthi Sagar,0,0,2.8,118,13,1382,450.0,4,23,0,0
The Food Therapy,0,0,3.7,0,14,1401,1000.0,4,3,1,0
Sri Sapana Dhaba,1,0,3.2,11,74,917,250.0,2,29,0,0
Mangala Hotel,1,0,3.8,27,74,706,300.0,4,17,0,1
Orchard Fresh,0,0,3.7,0,29,555,400.0,2,15,1,0
Anupams Coast II Coast,1,1,4.1,853,13,1608,1400.0,4,18,0,1
Gold Line Breadz,0,0,3.7,53,52,1932,350.0,3,26,0,0
Cake Dilim,1,0,3.3,10,0,1902,400.0,3,17,0,0
Amdos Corner Tibetan Foods,0,0,4.0,47,74,1901,250.0,4,5,0,1
Mahjong Room  WelcomHotel Bengaluru,0,1,4.4,127,13,2521,1200.0,4,6,0,1
Baba Chatkora,0,0,4.1,428,13,1432,1000.0,2,16,0,1
Bon Sante,0,0,3.6,104,3,2359,800.0,1,13,0,0
Al Baith,0,0,3.7,0,74,999,300.0,4,29,1,0
Tanuja Home Food,1,0,3.1,18,27,917,300.0,2,19,0,0
Fashion Knack Cafe,0,0,3.7,18,3,2317,250.0,2,19,0,0
Tasty Paradise,1,0,3.7,98,13,1293,550.0,2,7,0,0
The Beer Cafe,1,1,4.2,1181,69,442,1300.0,5,3,0,1
Bathinda Dine,1,0,3.9,266,13,917,950.0,2,14,0,1
Hotel Taj Delight,1,0,3.2,17,13,966,600.0,2,7,0,0
Y Not Shawarma,0,0,3.7,0,74,236,300.0,4,25,1,0
Tandoor Dum,0,0,3.7,0,13,917,600.0,4,0,1,0
Capri Gastrobar,0,1,4.3,299,12,816,1200.0,4,5,0,1
Nossa Goa,1,1,4.1,302,13,485,1000.0,3,6,0,1
Delicious Treat,0,0,3.7,0,74,287,200.0,4,10,1,0
BISO  Citrus Hotels,0,1,3.9,156,13,1411,1100.0,0,18,0,1
The Spice Bazaar,0,1,4.2,332,14,1278,1000.0,0,20,0,1
Shahi Darbar,1,0,3.2,5,74,2622,300.0,4,29,0,0
Karachi Bakery,1,0,3.4,6,0,1902,400.0,2,2,0,0
Taj Darbar,1,0,3.8,149,13,2144,600.0,2,28,0,1
Chai Galli,1,0,4.3,480,3,2508,450.0,2,28,0,1
Sly Granny  The Community House,0,1,4.4,953,41,858,2500.0,4,23,0,1
Sweet Truth,1,0,3.9,29,0,1902,500.0,2,10,0,1
Ambur Hotel,0,0,3.7,0,74,1628,250.0,2,24,1,0
Cake Art,0,0,2.9,27,52,1780,400.0,2,25,0,0
Polar Bear,1,0,3.7,0,29,548,150.0,2,0,1,0
Mist N Creams,0,0,3.7,0,29,548,400.0,3,5,1,0
RR Catering,0,0,3.4,10,74,1027,350.0,2,6,0,0
De Thaali,1,0,3.9,144,13,1119,550.0,2,16,0,1
Just Bake,1,0,3.4,6,0,1902,400.0,2,18,0,0
Biryani Kitchen,1,0,4.0,218,74,2063,400.0,2,14,0,1
Kaumudis Juoice,0,0,3.7,0,89,2018,150.0,4,16,1,0
Sphyre  Gateway Hotel,0,0,3.6,45,53,437,1700.0,5,13,0,0
Hungry Monster,1,0,3.7,0,92,2098,300.0,2,28,1,0
The Local  Burger Bar,0,0,3.8,152,72,2158,1500.0,4,3,0,1
Sona Chicken Kabab,0,0,3.2,4,74,917,200.0,4,13,0,0
Cream Chemistry,1,0,3.9,75,29,555,500.0,3,12,0,1
Body Temple,1,0,3.3,12,74,489,500.0,2,2,0,0
Asia In A Box,1,0,3.1,9,13,1881,550.0,2,17,0,0
Aubree,1,0,3.2,6,5,2282,400.0,1,5,0,0
Mangalas Tea Time Cafe,1,0,3.7,0,74,1876,150.0,2,28,1,0
Recipe Box,1,0,3.7,0,74,2539,400.0,2,21,1,0
Onety 1,0,0,3.7,0,74,2578,300.0,4,14,1,0
Kaati Zone,0,0,2.8,26,74,310,350.0,4,11,0,0
California Burrito,0,0,4.1,1229,74,826,400.0,4,3,0,1
Mad Over Donuts,1,0,3.9,130,44,1913,450.0,2,7,0,1
Taaam,1,0,4.1,402,13,1282,750.0,4,18,0,1
Karavali Kolimane,1,0,3.7,28,74,785,350.0,2,25,0,0
Yuan Restaurant,1,0,3.8,202,13,2608,600.0,2,26,0,1
Desipun,1,1,4.2,348,13,917,700.0,2,2,0,1
Tawa,1,0,3.4,25,74,917,200.0,2,3,0,0
Barbeque Nation,0,1,4.7,3844,13,1197,1600.0,4,4,0,1
Mr Anbug Ambur Biryani,0,0,3.2,4,74,2063,300.0,4,20,0,0
Fatima Bakery,0,0,3.7,14,52,1927,300.0,4,18,0,0
Gobble Up Churros Cafe,1,0,3.8,38,13,2004,400.0,2,13,0,1
Toastys,0,0,3.7,0,44,287,500.0,2,15,1,0
Sandwich Mamas,0,0,3.2,4,74,287,300.0,2,24,0,0
Elmas Restaurant,1,0,3.4,34,13,1259,650.0,2,0,0,0
Lets Eat Desi Chinese,0,0,3.7,0,74,2521,300.0,4,20,1,0
9th Cross Cafe,0,0,3.6,12,3,2449,550.0,1,23,0,0
Pappu Chaiwalla,0,0,3.6,141,74,436,300.0,4,25,0,0
Brahma Brews,0,1,3.7,0,63,201,1400.0,4,4,1,0
Shree Mithai,0,0,3.3,9,85,262,150.0,4,28,0,0
Barista,0,0,3.7,35,3,2257,300.0,4,20,0,0
Kitchen Rabbit,1,0,3.6,18,74,1003,500.0,2,19,0,0
Japan Travel Cafe Azuki,0,0,4.3,74,3,2460,400.0,1,13,0,1
Davids Kitchen,1,0,3.7,14,74,1364,200.0,4,25,0,0
Barcode,0,1,3.8,169,76,1730,1300.0,5,28,0,1
99 Pancakes,1,0,4.5,345,32,232,300.0,2,2,0,1
Ottimo  ITC Gardenia,0,1,4.3,164,39,636,3000.0,4,18,0,1
Salem Kitchen,0,0,3.4,232,13,2515,550.0,2,8,0,0
Dilish Kitchens,0,0,3.7,29,13,999,500.0,2,24,0,0
Tree Tops Bar  Kitchen,0,1,4.4,113,14,1048,1000.0,5,20,0,1
Silsila Restaurant,1,0,3.7,31,13,2622,600.0,2,17,0,0
Sea Horse,0,0,3.4,9,13,1594,500.0,2,25,0,0
Food Zone,1,0,3.4,313,74,999,300.0,4,8,0,0
Skanda Cafe,0,0,3.5,15,74,1673,400.0,2,26,0,0
Wok N Roll,1,0,3.9,82,74,2608,400.0,2,26,0,1
Kolkata Kati Rolls,0,0,2.9,17,51,408,200.0,2,24,0,0
Al Hayath,0,0,3.5,16,74,999,200.0,2,29,0,0
House of Chaaps,1,0,3.7,0,74,1325,450.0,2,12,1,0
New Ambur Hot Dum Biryani,0,0,3.7,0,74,347,400.0,2,9,1,0
2443  The Oterra,0,1,4.1,268,39,938,3000.0,4,21,0,1
Dhuaan,0,0,4.3,139,3,2331,800.0,1,2,0,1
Laa Raiba Restaurant,1,0,3.3,7,74,708,300.0,2,0,0,0
The Asian Curry House,1,0,4.5,785,13,1917,1000.0,2,7,0,1
Chinese House,1,0,2.8,20,74,2710,300.0,2,3,0,0
Daily Bread,0,0,2.7,53,52,1935,600.0,3,3,0,0
House Of Wholewheat,1,0,3.1,6,0,1902,200.0,3,29,0,0
Stoner,1,0,4.5,2617,32,554,500.0,4,28,0,1
KitchensMahadevpura,1,0,3.9,125,27,626,600.0,2,15,0,1
Classic Lassi Shop,1,0,3.5,43,56,2022,150.0,2,22,0,0
The Big Spoon,1,0,3.8,45,13,1278,750.0,4,15,0,1
Chocolat Boulangerie Patisserie,0,0,4.1,445,29,1891,400.0,3,3,0,1
Multi Snacky Hub,0,0,3.7,0,74,287,200.0,2,1,1,0
Truffles,0,0,4.5,3596,3,2265,900.0,1,6,0,1
Five Star Chicken,1,0,3.7,82,74,312,300.0,4,12,0,0
Dosa Bazaar,1,0,4.0,113,74,1862,200.0,2,24,0,1
Frosting Flavours,0,0,3.8,54,29,218,150.0,3,15,0,1
New Chickpete Donne Biryani,1,0,3.1,6,74,2063,300.0,2,7,0,0
Sri Krishna Sagar,0,0,3.6,11,74,1737,200.0,4,24,0,0
Skyye,0,1,4.2,3133,53,13,2500.0,5,6,0,1
Bakers Town,1,0,3.6,42,3,2355,600.0,4,28,0,0
Brunch  Munch  Hotel Millennium Plaza,0,0,3.5,23,13,1094,1200.0,0,21,0,0
Xtreme Sports Bar,0,1,3.8,53,76,163,1400.0,2,8,0,1
Friends Chats Adda,0,0,3.7,0,74,415,200.0,4,0,1,0
Bean Der Cafe,1,0,3.4,8,74,1866,250.0,2,24,0,0
Karavalli  The Gateway Hotel,0,1,4.5,681,39,789,3500.0,4,6,0,1
Grilliez,1,0,4.1,564,3,2278,600.0,2,12,0,1
KUNG FOOD,0,0,3.7,0,74,2521,400.0,4,22,1,0
Corner House Ice Cream,1,0,4.5,187,44,555,400.0,3,15,0,1
Bhattara Bhojana,1,0,3.6,66,74,1628,150.0,4,1,0,0
Portland Steakhouse  Cafe,1,1,4.3,2039,13,1809,1500.0,2,23,0,1
Matsuri  The Chancery Hotel,0,1,4.4,183,14,640,1800.0,6,20,0,1
New Priya Sagar,0,0,3.7,0,74,1687,200.0,4,21,1,0
Dal Chawal Roti,1,0,3.3,10,74,999,350.0,2,23,0,0
The Healthy Bakes,0,0,3.7,0,0,1902,500.0,3,19,1,0
Al Amal Cafe,0,0,4.0,74,11,2401,300.0,4,26,0,1
Fnp Cakes N More,0,0,3.7,0,0,1780,150.0,3,7,1,0
Dalma,1,0,3.9,475,13,1451,600.0,2,25,0,1
